,id,song.full_title,song.artist_names,song.lyrics,UniqueWordsPercent,AlbumName,topic1,topic2,topic3,topic4,topic5,topic6,topic7
0,0,HYAENA by Travis Scott,Travis Scott,162 contributorstranslationsportugusespaoltrkeitalianodeutschfranaishyaena lyric the situation we be in at this time neither a good one nor be it so unblessed it can change it can stay the same i can say i can make my claim hail hail hail yeah okay this shit be outta control im drivin through hell and i do brought snow it shinin in here then i do brought glow i hear the siren right out the chateau run me the info tryna hear what you do not how you come close cause i get bobblehead like i do make pro i make italian bread like i do make dough i be all around the map write a show bout myself like im chelsea handler or write a series bout my bitch like im kelsey grammer nickname the jet jayhawk cause it outta kansa you know it spaldin in my top im in my esperanza you know it slammin wall to wall we get ta fill the stand up with slap and the anthem poetic justice i get you in all my stanza with your model stance you everything i know about it you might also like know about it know about it know about it know about it ah know about it know about it know about it know about it what we know where you shall go power ah uh yeah c-note b-notes i take the big boat we stayed down for life it like a jingle to do em all we too much involve to spend a single ounce of time she bust a whole ounce by doin line i have to leave like the leaf do tree im finally home i wipe the stress then i touch that sweat we take em 35 to 1 like this shit roulette hold up beg your pardon we do lit up baby set up told the preacher never finish thats to say the least buy it never lease it but i get ta lease it mobile mona type of piece met gala night jesus skip it hit the city party pack i get it with me im shotty while i let you with me im too bent to let you ride barely til it empty get ta feel me pocket dumb fat and i get a skinny squad be with me and thats everything i know about it i know about it i know about it i know about it i know about it i know about it i know about it i know about it i know about it i know about it i know about it i know about it i know about it mother earth be pregnant for the third time for yall have knock her up i have taste the maggot in the mind of the universe i be not offend for i knew i have to rise above it all or drown in my own shit24embed,0.4620123203285421,Utopia (2023),0.0008,0.9954,0.0008,0.0008,0.0008,0.0008,0.0008
1,1,THANK GOD by Travis Scott,Travis Scott,137 contributorstranslationsportugusespaoltrkedeutschitalianothank god lyric i wont doubt it i wont he wont mislead all his follower prayin on the process mind and spirit feel like like im floatin in my prime time one life live it right now one life live it in goodbye thats life fun time for life for life from down my eye thank god im free tonight get god on the line tell the devil im fine he always tryin tryin his best no question top of the pole me and my bros when the story get told it gon be bmf muchas gracias this shit sound hard it wasnt make easy you cant live twice thank god im brathin we gon fuck it up we get ta go now you might also like one lif live it right now one life live it in goodbye thats life fun time for life for life from down my eye thank god i breathe tonight fuck it up oh still no pressure thank god i breathe cause shit i speak be what they need i tell no lie im still up top they still cant drop but what if they not uh yeah yeah last tape be fill up with slap i guess get ta run this shit back didnt like the way that shit go down at the award i admit it it turn to a beast this that shit right here that get me goin after i pop me a piece way that we killin the critic and killin the hate might get ta talk to a priest the way we evolve and knock down wall this shit outrageous ooh a quarterback call i dont like 12 except tom brady cant short my stock i still stack tall you still cant trade me storm a minor but you know she livin major thats right daddy when you flyin up this high it aint no cable shit so lit what happen in vega it stay in vega mornin time we check the news we make the papers17embed,0.5072886297376094,Utopia (2023),0.9742,0.0008,0.0218,0.0008,0.0008,0.0008,0.0008
2,2,MODERN JAM by Travis Scott (Ft. Teezo Touchdown),Travis Scott (Ft. Teezo Touchdown),189 contributorstranslationsespaolportugusdeutschtrkeitalianomodern jam lyric yeah-yeah yeah-yeah turn it up my headphone to the maker vibrator roof shaker earthquaker annihilator yeah baby please get off the gram i like you well in the stand i upgrade my only fan it do or dont need a cam this right here my new modern jam im on fire the new burnin man she paid to view thats an on-demand hey guy-man brought him home from france this shit punk put it on the bible i like a bi girl on a bi-cycle then i bought a car now she feel entitle my dick so hard pokin lik the eiffel i just need the world i aint hard to plase way i keep the knowledge think im socrates i get em levitatin way off their knee the way i make it jump i make it hard to breathe it like bright tight the annihilator forever favor true upgrader you a shaker car breaker you might also like baby dont you know i get to go get the glow and it get to show know it be a year since i see the road have me inside like im on parole im outside like im on patrol i hear the zeitgeist now im in the zone you know they say you up when you finally free it wont feel right if it only me if youre scar nigga say your grace i get the formula like i own the race i get the key with me like i own the place if these nigga on top then im outta space id rather spend it on you than on uncle sam give this shit my all but dont give a damn even in the winter it a summer jam i told her buckle up cause it goin down it like bright truth breaker heartthrob baby feather skater you true raider daka-doo-doo-da-da uh-uh i know youre lyin outside waitin in the line gettin dough one at a time oh uh-uh i know youre lyin outside waitin in the line gettin dough one at a time oh bounce baby im in the buildin baby do it baby you get my consent baby oh this the remix oh this the remix before she let me in she get ta pat me down before she let me in she get ta pat me down the annihilator forever favor15embed,0.4875,Utopia (2023),0.0008,0.0008,0.0008,0.9955,0.0008,0.0008,0.0008
3,3,MY EYES by Travis Scott,Travis Scott,268 contributorstranslationsespaolportugustrkedeutschitalianomy eye lyric when i stare in your eye youll be there forever to watch our life to watch our life together you just like go to heaven my heart more than anything oh yeah oh yeah oh yeah oh yeah im fallin and im drownin but youre takin me one thousand on my foot stack spread on my seat ten thousand on my eye eye rollie pollie on my wrist get ta make a flight big day slummin no facetime 50k wonderin why im stormin off no race embolden by the bliss i be sworn in by a kiss lat from the country caters no peacmaker i sweep up case goin on a walk with a new suit armor new suit dead bottega thats on it give me the heat from the sleep then i harm her cupid creep in sleep with a hammer three time to get me t-t-td still same phone att-t still givin news very vividly beefin up fuck a beef smokin on some vicious type of reefer i need no beef no cheese yeah even when i eat they cheat uh every time we meet naive you might also like when i stare in your eye youll be there forever to watch our life to watch our life together you just like go to heav my heart one thousand on my foot stack spread on my seat ten thousand on my eye eye yeah it mad how it get so deep it mad how i get so high it mad how you get me by by tell me tell me tell me tell me yeah yeah yeah yeah it me it me it me it me it me look in my eye tell me your tale do you see the road the map to my soul look tell me the sign whenever the smoke clear out of my face be i picture-perfect or do i look fry all of that green and yellow that drip from your eye be tellin tell you demise i go to my side to push back the ceilin and push back the feel i have to decide i replay them night and right by my side all i see be a city of people that ride wit me if they just knew what scotty would do to jump off the stage and save him a child the thing i create become the most weight i get ta find balance and keep me a smile hah yeah yeah that shit wild instead im a hero i take it from zero laflame usain i run it for mile this shit wasnt luck they get me fuck up i put you on bus and take you around a couple of guy inside of the school i give em the tool to get it off ground they say they the one when they make the error cant look in the mirror that shit wild i stand on the stage i give em the rage no turnin it down cant tame it cant follow it we do in the street we do it for keep we do it for right get fifty-two week this shit aint for pleasure im comin to tweak this shit be forever and infinity number eight yeah we write it and wrap it around i take me a bean and i turn to a beast bought the crib on a hill make it harder to reach bought a couple more whip cause i need more speed bought a couple more watch i need more time didnt buy the condo it be smarter to lease and i bought some more ice cause i brought in the heat make a cast of my dick so she never gon cheat if i give you a day in my life or a day in my eye dont blink35embed,0.4369230769230769,Utopia (2023),0.0005,0.0005,0.0005,0.2655,0.0005,0.732,0.0005
4,4,GOD’S COUNTRY by Travis Scott,Travis Scott,164 contributorstranslationsportugusespaolitalianotrkedeutschgods country lyric la la la la la la la la la la la la watchin in la la la la onlyonethey watch inyeah la la la la la lala la it aint up to you no more more la la la la la la la la god country this be war la la la la la la ooh ooh-ooh ooh-ooh la la la la la la wakin up i see the light i be drunk and it alright i take the drive to clear my mental mental would tint the whip but it a bike it demon time i get it on me on me might earn a teardrop overnight wear louis shade to block my psyche psyche it hot a hell but where the ice you in god country not in montgomery go ted bundy then go home and play al bundy the card black and you know it get a sky limit i make a mill every you decide choice be yours yeah la la la the butterfly reflect the door yeah la la la i hit the gas and metamorph la la la couldnt get this shit off credit score la la la hunnid thousand pack the fan la la la get em jumpin with no hand la la la need more space where we jam la la la in god country wit the fam la la la yeah woah you might also like la la la la la la ooh-ooh la la la la la la ooh-ooh la la la la la la la la ooh-ooh la la la la la la la la18embed,0.4317343173431734,Utopia (2023),0.0008,0.0008,0.0008,0.0008,0.9954,0.0008,0.0008
5,5,SIRENS by Travis Scott,Travis Scott,127 contributorstranslationsespaolportugusdeutschsirens lyric every night i look up in the sky and the star be all there but when i look for you youre never there explorer be you out there we have to spread out the word mmm i be too damn determine rap game it need refurbish i be on top with no service watch a they all playin verse they in the bush they lurkin might get ta call the insurgent she wan na fuck with a purpose i get ta juggle my urge get a couple department closet built like a department double up cup of the bourbon how i give all of my sermon yeah we still still do thing down to detail diva and the devil both them bad a he-ell they get quiet when he yell he yell cant silent my people you lock in the prequel meet me at the festi-viel festi-vial foo foo you might also like now i get your attention look out it wide and beatin look out vow this evenin look out you never leavin look-look-look-look-look-look clock out we sneak in look-look-look-look-look all the demon need a reason up from 2 be to two in the afternoon look out it a festival right in my room look out soon a the sun up you know that we boom look out mariposa we out to cancn look out we gon hustle more just before we out the room look out back outside it aint no time for zoom look out one point two thats a whole lot of more vroom look out three point two thats a whole lot of whole lot of look out it live member day that i couldnt get by there outside it come with it inside now your venue we get ta resize i cant give all this credit to colgate by the way i be rentin the smile look out look out i know sometimes i be in denial look out look out i know sometimes i be in the wild look out look out how i rock in the rock in the ah i thought we be go to utopia what make you say this isnt utopia i mean i dont know isnt it suppose to be some perfect destination this be just your hotel room yeah it look perfect to me12embed,0.49742268041237114,Utopia (2023),0.0008,0.0008,0.9952,0.0008,0.0008,0.0008,0.0008
6,6,MELTDOWN by Travis Scott (Ft. Drake),Travis Scott (Ft. Drake),278 contributorstranslationsespaoltrkeportugusdeutschmeltdown lyric yeah tension be definitely rise td up right now t time t time t time t time t time teatime like i get a cup of this shit tee time like golf at a quarter to six i love to fuck on a regular bitch famous hoe lame but they stay on my dick heard your new joint it embarrass shit you talk to the cop on some therapist shit you act like you love this american shit but really the truth be you scar of the 6 yeah you scar of the 6 yeah you scar of the 6 your bodyguard put in some work on a fluke now you wan na go and inherit that shit dont talk to the boy bout comparison shit or come to the boy on some arrogant shit the weapon we get be some terrorist shit like tv producer we grr we air this shit she askin for bread for her parent and shit i told her i dont get no cash and she say she could wait on a rack on some arabic shit i pull out a million and stare at the shit my dick just get hard cause a wire just hit my schedule be out come spin u for real man fuck all that spinnin the narrative shit i melt down the chain that i bought from yo bos give a fuck about all of that heritage shit since v not around the member do hung up the louis they not even wear that shit dont come to the boy bout repair some shit dont come to the boy about spar some shit you lucky that vogue be sue cause i wouldve be with the wassas in paris and shit you might also like i-i be you fuckin crazy be you fuckin crazy ah and they scar of the seven seven after one-three then we turn up eleven yeah keep this shit open like 7-eleven it lit me at the house i get seven in heaven they think im satanic i keep me a reverend lil shawty a therapist yeah poppin her shit she inch my way then she start confess i know whats at stake im screamin free jeffery connect collect call right off of the celly give her the blue not talkin bout belly dont keep it sincere i go makaveli i get the juice now it heavy juice always on t-time be ready t ah yeah be you fuck crazy be you f yeah stone let go wrappin the cheese wrap around me cause ive get property wrap cheese wrap chocolate ap and chocolate the v v get the willy wonka factory v burn a athlete like it calorie find another flame hot a me bitch ooh yeah be you fuck crazy nah be you fuck crazy what be you fuck crazy nah nah be you fuck crazy yeah be you fuck crazy or what be you fuckin be you fuckin be you fuck crazy how many texas boy do ran it up a couple maybe couple maybe swanging in the pickup truck baby fuck mercedes fuck mercedes ill fuck a nigga bitch but she cant have the baby have the baby ill shoot your a in walmart like im dababy in walmart the boy go lionel messi i go tom brady woo use to wear the bust down back in my old day woo now i let the chain hang you get ta tuck yours maybe tuck it tuck it nigga talkin scarface im that in real life ooh be you fuck crazy or what be you fuck crazy fuckin crazy man the club aint be the same since we lose mercedes straight up man the clique aint be the same since they lose the great nah nah nah we outside with the army so you need the uh-huh them boy rollin all brown like they whippin gravy make a circus outside like it barnum bailey it lit blickey hang on my side it like it really hang blickey blickey blaow she move her panty to the side she want it raw when fade huh huh huh huh be you fuck crazy uh be you fuck crazy uh be you fuck crazy or what be you fuck crazy yeah be you fuck crazy or what be you fuckin be you fuckin be you fuck crazy19embed,0.4078590785907859,Utopia (2023),0.0004,0.0004,0.0004,0.9976,0.0004,0.0004,0.0004
7,7,FE!N by Travis Scott (Ft. Playboi Carti),Travis Scott (Ft. Playboi Carti),395 contributorstranslationsportugusespaoltrkedeutschfranaisfen lyric just come outside for the night yeah take your time get your light yeah johnny dang yeah yeah i be out geekin bitch fen fen fen fen fen yeah fen fen fen fen fen yeah fen fen fen fen fen fen fen yeah fen fen fen the career more at stake when you in your prime at stake fuck that paper baby my face on the dot line dot yeah i be flyin out of town for some peace of mind yeah yeah bitch it like always they just want a piece of mine ah i be focus on the future never on right now ah what im sippin not kombucha either pink or brown it lit im the one that introduce you to the you right now mm let go oh my god that bitch bitin that bitch bitin well alright alright tryna vibe im tryna vibe this in the night come alive aint asleep aint a aint a aint-aint fen fen fen fen fen fen fen fen fen fen fen fen fen fen fen fen fen fen fen fen fen fen fen fen you might also like schyeah woah what what homixide homixide homixide homixide what yeah woah woah yeah yeah homixide homixide homixide homixide hit yeah hold up yeah yeah i just be poppin my shit and gettin it live hold up shit yeah you try to come wrong bout this shit we poppin your tire hold up shit uh hundred-round woah feelin like im on ten playin both side with these hoe hold up shawty im fuckin your friend hold up ive be goin crazy shawty ive be in the deep end she not innocent uh she just tryna go fen talkin bout fen fen schyeah fen fen schyeah oh oh what schyeah fen fen schyeah fen fen fen oh oh fen fen talkin bout fen fen fen fen talkin bout let go i just be icin my hoe i just be drippin my hoe drippin my hoe this be a whole nother level shawty oh i get these hoe on they toe hoe on they toe i put the bitch on the road she tryna fuck on the o hold up hold up i get this ho with me she tryna show me somethin hold up hold up oh i get flow for day these nigga aint on nothin hold up yeah oh me and my boy lock in you know we on one hold up uh slatt slatt we in the spot goin crazy until the sun up you worried about that ho that ho do chose up slatt bitch-ass uh pistol all in the kitchen cant give the zip code up hold up yeah slatt wow fen fen fen huh huh huh huh yeah why the fuck these nigga actin like they know u 00cactus yeah we towed up skrrt skrrt uh yeah switch out the bag these nigga get roll up hold up it lit slatt everything hit hold up everything homixide homixide homixide homixide homixide homixide fen fen fen fen fen fen homixide homixide homixide homixide homixide homixide homixide51embed,0.34476190476190477,Utopia (2023),0.0005,0.0005,0.0005,0.0005,0.9971,0.0005,0.0005
8,8,DELRESTO (ECHOES) by Beyoncé & Travis Scott,Beyoncé & Travis Scott,133 contributorstranslationsespaolportugusdeutschdelresto echo lyric i believe in i believe in love ah ah ah ah statue in the next room billion in escrow ah bulletproof thewholething ignore the dresscode step into the ballroom so hard tolet go ah thing that never give life i can see the echo ridin through the thunder tryna see the summer it the echo that i wait for it the echo that im make for recognize delresto recognize the let go breakin through the echo make for breathin through the echo walk you might also like it only echo i escape for walk walk only echo on the return walk walk walkin on the number walk walk stay the night it the let go walk the let go walk the let go walk the let go walk that i wait for walk ill wait for walk ill wait for walk ill wait for you walk watch you watch you watch you get the medical listen at your waist to stay hospitable infect with your vaccine this aint critical let me vibe with your green eye dom-dom-dom-dom the starry night they start to fade come on at time for mile i see your face yeah i drive i drive alone you wait your time your time your time you take you take drivin reckless through a storm and it you or breakfast in the mornin my night be abnormal advice aint informal i do try to warn you before they go and swarm you the height we make be paranormal we shake and wake up the paranoia wont let it destroy you wont let it annoy you im tryin to enjoy you in front of the foyer we cant seem to break through out the logical ah to see it in the day you get ta free your soul breakin through the echo you wan na reign supreme and never let them go ah we filmin live from the kingdom-dom-dom-dom only echo that i wait for ah only echo on the return walkin on the number walk walk i find walk walk it the echo that i wait for walk walk it the echo on the return walk walk stay the night it the let go walk the let go walk the let go walk the let go walk that i wait for walk ill wait for walk ill wait for walk ill wait for you walk ah ah ah ah hey now you will report to me hey now you will report to me hey now hey now you will report to me hey now you will report to me hey now hey now you will report to me15embed,0.3466666666666667,Utopia (2023),0.0006,0.0006,0.0006,0.9962,0.0006,0.0006,0.0006
9,9,I KNOW ? by Travis Scott,Travis Scott,160 contributorstranslationsespaolportugustrkefranaisdeutschi know lyric tell me be you still up up it 5 be and im drunk right now tell me can we still fuck fuck that shit one of one im in the zone right now tell me be i still mm tellin you just how i feel right now you say it just the drug and i know i know i know i know i know i know i know i lie too way before let go before before i have you right inside my arm but then again i could be drunk it lit yeah baby i dont wan na sound righteous yeah i get twenty bitch suckin like bison i just eeny meeny miney roll the dice i pick her pop it pop it she aint even really my type and i hear she be losin herself to the night shift she be losin herself and i get oh girl yeah i get it yeah yeah youve be fightin for your shot and youve be searchin for your spot girl i feel it yeah girl i feel it yeah oh you think you get your groove but you want someone like you let you might also like tell me be you still up up it 5 be and im drunk right now tell me can we still fuck fuck that shit one of one im in the zone right now tell me be i still mm tellin you just how i feel right now you say it just the drug and i know i know i know i know i know i know i know ooh it the kid know it damn it i lie too way before before how they feelin how they feelin right here ooh before i have you right inside my arm feelin like some money tonight but then again i could be drunk yeah i know mami i know know it 2 be dont stress stress at three that bullshit kick in in thirty youll feel your best i turn my whole spot to crucial it crucial the way i left it lit upstairs be like a low my new bitch be the best let go im lookin at her when her startin to turn into you her now you startin to fuck up my mind be it you be it her we brought booby trap to the burbs f29 be my address in case you aint heard it floodin upstairs it a leak i dont make it squeak make it squirt i make this shit beat bon apptit when i feast slippin and slide through the street it take a finesse especially in this cabriolet jeep engine make it hard to creep just leave the gate open through the side door ima creep ooh ooh be you by the turrell and be the kid downstairs asleep and be you upstairs by yourself a minute from there be there some room for me baby do tell do tell tell me be you still up up it 5 be and im drunk right now tell me can we still fuck fuck that shit one of one im in the zone right now tell me be i still mm tellin you just how i feel right now you say it just the drug and i know i know i know i know i know i know i know i lie too way before let go before before i have you right inside my arm but then again i could be drunk23embed,0.3135593220338983,Utopia (2023),0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.9962
